Date,Fund,Ticker,Type,Qty/Par Value, Exec Price 
4/2/2025,WDTE,SPXW  250403P05705000,SS,124,59.3508
4/2/2025,WDTE,SPXW  250402P05650000,BC,123,Expired
,,,,,
4/2/2025,QQQY,NDXP  250403P19730000,SS,74,250.0892
4/2/2025,QQQY,NDXP  250402P19510000,BC,73,Expired
,,,,,
4/2/2025,IWMY,RUTW  250403P02060000,SS,551,29.3038
4/2/2025,IWMY,RUTW  250402P02020000,BC,552,Expired
,,,,,
4/2/2025,SPYT,464287200,S,1012,567.78
4/2/2025,SPYT,4SPX  250403C05670970,SS,195,45.37
4/2/2025,SPYT,4SPX  250403C05682310,B,195,40.09
4/2/2025,SPYT,4SPX  250402C05633070,BC,204,Expired
4/2/2025,SPYT,4SPX  250402C05644340,S ,204,Expired
,,,,,
4/2/2025,QQQT,46090E103,S,735,476.73
4/2/2025,QQQT,4NDX  250403C19581780,SS,12,189.94
4/2/2025,QQQT,4NDX  250403C19620940,B,12,171.54
4/2/2025,QQQT,4NDX  250402C19436420,BC,12,Expired
4/2/2025,QQQT,4NDX  250402C19475290,S ,12,Expired
,,,,,
4/2/2025,USOY,USO   250402P00077000,BC,4050,0.05
4/2/2025,USOY,USO   250404P00078000,SS,4050,0.92
,,,,,
4/2/2025,GLDY,GLD   250402P00288000,BC,34,0.5726
4/2/2025,GLDY,GLD   250404P00289000,SS,34,2.4826
