Date,Fund,Ticker,Type,Qty/Par Value, Exec Price ,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,SPXW  250618P06000000,SS,120, 35.82 ,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,SPXW  250617P06040000,BC,120, EXPIRED ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,NDXP  250618P21800000,SS,77, 152.29 ,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,NDXP  250617P21960000,BC,77, EXPIRED ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,RUTW  250618P02115000,SS,557, 22.03 ,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,RUTW  250617P02130000,BC,557, EXPIRED ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,4SPX  250618C05982720,SS,190, 29.91 ,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,4SPX  250618C05994690,B,190, 24.23 ,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,4SPX  250617C06033110,BC,194, EXPIRED ,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,4SPX  250617C06045180,S ,194, EXPIRED ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,4NDX  250618C21719080,SS,12, 121.63 ,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,4NDX  250618C21762520,B,12, 101.21 ,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,4NDX  250617C21937570,BC,12, EXPIRED ,,,,,,,,,,,,,,,,,,,,,
6/17/2025,,4NDX  250617C21981450,S ,12, EXPIRED ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
