Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
01/30/2025,AMDY,2AMD  250221P00145010,S,13925,28.090603,-39116164.68,-23.68%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250131C00118000,S,7325,2.135,-1563887.5,-0.95%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250131C00119000,S,6600,1.68,-1108800.0,-0.67%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250131C00121000,B,7125,1.03,733875.0,0.44%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250131C00122000,B,6600,0.79,521400.0,0.32%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250131C00123000,B,200,0.62,12400.0,0.01%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250221C00145000,B,13925,0.86,1197550.0,0.73%,165147500.0,17500000,700.0,
,,,,,,AAPY
01/30/2025,APLY,2AAPL 250221P00240010,S,6070,7.407298,-4496229.89,-3.14%,143306955.0,8525000,341.0,
01/30/2025,APLY,AAPL  250131C00242500,S,6070,3.775,-2291425.0,-1.60%,143306955.0,8525000,341.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,01/30/2025,APLY,AAPL  250131C00255000,B,6070,0.625,379375.0,0.26%,143306955.0,8525000,341.0,
01/30/2025,APLY,AAPL  250221C00240000,B,6070,7.325,4446275.0,3.10%,143306955.0,8525000,341.0,
,,,,,,,DIPS
01/30/2025,DIPS,2NVDA 250221C00144020,S,1166,1.581951,-184455.49,-1.39%,13300770.0,1050000,42.0,
01/30/2025,DIPS,NVDA  250131P00115000,B,1166,1.295,150997.0,1.14%,13300770.0,1050000,42.0,
01/30/2025,DIPS,NVDA  250131P00120000,S,1166,2.605,-303743.0,-2.28%,13300770.0,1050000,42.0,
01/30/2025,DIPS,NVDA  250221C00215000,B,1166,0.045,5247.01,0.04%,13300770.0,1050000,42.0,
01/30/2025,DIPS,NVDA  250221P00144000,B,1166,21.575,2515645.0,18.91%,13300770.0,1050000,42.0,
,,,,,,
1/30/2025,TSLY,TSLA 250207C00412500,SS,16245,8.15
1/30/2025,TSLY,TSLA 250131C00440000,BC,16245,0.22
1/30/2025,TSLY,TSLA 250131C00480000,S,16245,0.01
1/30/2025,TSLY,TSLA 250207C00440000,B,16245,2.69
1/30/2025,TSLY,TSLA 250131C00437500,BC,7198,0.19
1/30/2025,TSLY,TSLA 250131C00475000,S,7198,0.01
1/30/2025,TSLY,TSLA 250207C00420000,SS,7198,6.5
1/30/2025,TSLY,TSLA 250207C00452500,B,7198,1.63
1/30/2025,TSLY,TSLA 250131C00472500,S,7300,0.01
1/30/2025,TSLY,TSLA 250131C00435000,BC,7300,0.32
1/30/2025,TSLY,TSLA 250207C00425000,SS,7300,7.04
1/30/2025,TSLY,TSLA 250207C00455000,B,7300,2
,,,,,
01/30/2025,NVDY,2NVDA 250221P00119010,S,29090,5.312157,-15453064.71,-1.12%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,2NVDA 250221P00127010,S,32100,9.154605,-29386282.05,-2.14%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,2NVDA 250221P00135010,S,36450,14.329464,-52230896.28,-3.80%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,2NVDA 250221P00148010,S,18000,24.995107,-44991192.6,-3.27%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00124000,S,3600,4.075,-1467000.0,-0.11%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00127000,S,28000,2.695,-7546000.0,-0.55%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00129000,S,29590,2.02,-5977180.0,-0.43%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00130000,S,25000,1.72,-4300000.0,-0.31%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00131000,S,29450,1.44,-4240800.0,-0.31%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00132000,B,28000,1.225,3430000.0,0.25%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00134000,B,33190,0.865,2870935.0,0.21%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00135000,B,25000,0.715,1787500.0,0.13%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00136000,B,29450,0.61,1796450.0,0.13%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250221C00119000,B,29090,10.675,31053575.0,2.26%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250221C00127000,B,32100,6.15,19741500.0,1.44%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250221C00135000,B,36450,3.375,12301875.0,0.89%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250221C00148000,B,18000,1.03,1854000.0,0.13%,1374782400.0,72000000,2880.0,

1/30/2025,NVDY,NVDA 250207C00127000,SS,29450,2.64
1/30/2025,NVDY,NVDA 250207C00137000,B,29450,0.76
,,,,,
01/30/2025,AMZY,2AMZN 250221P00210010,S,12630,1.730311
01/30/2025,AMZY,AMZN  250131C00240000,S,12630,1.915
01/30/2025,AMZY,AMZN  250131C00247500,B,12630,0.36
01/30/2025,AMZY,AMZN  250221C00210000,B,12630,29.475
1/30/2025,AMZY,AMZN 250131C00247500,S,6000,0.04
1/30/2025,AMZY,AMZN 250207C00247500,SS,6000,3.57
1/30/2025,AMZY,AMZN 250207C00267500,B,6000,0.61
1/30/2025,AMZY,AMZN 250131C00240000,BC,6000,0.34
,,,,,
1/30/2025,GOOY,GOOGL 250131C00212500,S,3225,0.03
1/30/2025,GOOY,GOOGL 250131C00205000,BC,3225,0.1
1/30/2025,GOOY,GOOGL 250207C00207500,SS,3225,3.2
1/30/2025,GOOY,GOOGL 250207C00220000,B,3225,0.94
,,,,,
1/30/2025,FBY,META 250207C00745000,B,1000,3.84
1/30/2025,FBY,META 250131C00675000,BC,1000,32.01
1/30/2025,FBY,META 250207C00725000,SS,1000,8.28
1/30/2025,FBY,META 250131C00715000,S,1000,5.06
1/30/2025,FBY,META 250131C00707500,S,1710,9.37
1/30/2025,FBY,META 250207C00745000,B,1710,4.16
1/30/2025,FBY,META 250131C00670000,BC,1710,38.78
1/30/2025,FBY,META 250207C00722500,SS,1710,9.92
,,,,,
01/30/2025,CONY,2COIN 250221P00280010,S,12115,16.872223,-20440698.16,-1.77%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,2COIN 250221P00300010,S,6400,27.746916,-17758026.24,-1.54%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,2COIN 250221P00320010,S,20890,41.294275,-86263740.48,-7.46%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250131C00310000,S,14000,1.545,-2163000.0,-0.19%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250131C00317500,S,5515,0.825,-454987.5,-0.04%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250131C00365000,B,9515,0.045,42817.5,0.00%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250131C00370000,B,10000,0.025,25000.0,0.00%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250207C00300000,S,5000,9.3,-4650000.0,-0.40%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250207C00302500,S,9000,8.475,-7627500.0,-0.66%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250207C00305000,S,5890,7.675,-4520575.0,-0.39%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250207C00340000,B,9000,1.89,1701000.0,0.15%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250207C00342500,B,5000,1.7,850000.0,0.07%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250207C00345000,B,5890,1.565,921785.0,0.08%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250221C00280000,B,12115,29.3,35496950.0,3.07%,1159214580.0,84600000,3384.0,
01/30/2025,CONY,COIN  250221C00300000,B,6400,19.8,12672000.0,1.10%,1159214580.0,84600000,3384.0,
