Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
3/6/2025,TSLY,TSLA 250417C00265000,B,450,22.95
3/6/2025,TSLY,2TSLA 250417P00265010,SS,450,24.75
3/6/2025,TSLY,TSLA 250314C00285000,SS,450,4.2
3/6/2025,TSLY,TSLA 250314C00312500,B,450,0.85
3/6/2025,TSLY,TSLA 250417C00300000,S,8863,12.4
3/6/2025,TSLY,2TSLA 250417P00300010,BC,8863,41.07
3/6/2025,TSLY,TSLA 250417C00265000,B,8863,26.95
3/6/2025,TSLY,2TSLA 250417P00265010,SS,8863,20.75
3/6/2025,TSLY,TSLA 250417C00350000,S,10429,3.55
3/6/2025,TSLY,2TSLA 250417P00350010,BC,10429,81.94
3/6/2025,TSLY,TSLA 250417C00265000,B,10429,26.85
3/6/2025,TSLY,2TSLA 250417P00265010,SS,10429,20.65
3/6/2025,TSLY,TSLA 250307C00310000,BC,355,0.05
3/6/2025,TSLY,TSLA 250307C00337500,S,355,0.01
3/6/2025,TSLY,TSLA 250314C00280000,SS,355,5.06
3/6/2025,TSLY,TSLA 250314C00307500,B,355,1.13
3/6/2025,TSLY,TSLA 250307C00310000,BC,11625,0.04
3/6/2025,TSLY,TSLA 250307C00332500,S,11625,0.01
3/6/2025,TSLY,TSLA 250314C00280000,SS,11625,5.45
3/6/2025,TSLY,TSLA 250314C00307500,B,11625,1.21
3/6/2025,TSLY,TSLA 250307C00307500,BC,6300,0.11
3/6/2025,TSLY,TSLA 250307C00332500,S,6300,0.02
3/6/2025,TSLY,TSLA 250314C00285000,SS,6300,6.19
3/6/2025,TSLY,TSLA 250314C00312500,B,6300,1.39
,,,,,
3/6/2025,OARK,ARKK 250307C00057500,BC,6450,0.03
3/6/2025,OARK,ARKK 250307C00061000,S,6450,0.01
3/6/2025,OARK,ARKK 250314C00054500,SS,6450,0.94
3/6/2025,OARK,ARKK 250314C00058000,B,6450,0.29
,,,,,
3/6/2025,NVDY,NVDA 250417C00130000,B,1900,2.5
3/6/2025,NVDY,2NVDA 250417P00130010,SS,1900,18.76
3/6/2025,NVDY,NVDA 250314C00121000,SS,1900,1.24
3/6/2025,NVDY,NVDA 250314C00131000,B,1900,0.3
3/6/2025,NVDY,NVDA 250307C00129000,BC,10000,0.03
3/6/2025,NVDY,NVDA 250307C00138000,S,10000,0.01
3/6/2025,NVDY,NVDA 250314C00121000,SS,10000,1.9
3/6/2025,NVDY,NVDA 250314C00131000,B,10000,0.4
3/6/2025,NVDY,NVDA 250307C00128000,BC,11598,0.03
3/6/2025,NVDY,NVDA 250307C00139000,S,11598,0.01
3/6/2025,NVDY,NVDA 250314C00117000,SS,11598,2.38
3/6/2025,NVDY,NVDA 250314C00127000,B,11598,0.54
3/6/2025,NVDY,NVDA 250307C00129000,BC,14000,0.04
3/6/2025,NVDY,NVDA 250307C00139000,S,14000,0.01
3/6/2025,NVDY,NVDA 250314C00121000,SS,14000,1.96
3/6/2025,NVDY,NVDA 250314C00131000,B,14000,0.43
,,,,,
3/6/2025,AMZY,AMZN 250307C00217500,BC,2665,0.04
3/6/2025,AMZY,AMZN 250307C00230000,S,2665,0.01
3/6/2025,AMZY,AMZN 250314C00207500,SS,2665,1.81
3/6/2025,AMZY,AMZN 250314C00222500,B,2665,0.19
3/6/2025,AMZY,AMZN 250307C00215000,BC,3500,0.06
3/6/2025,AMZY,AMZN 250307C00225000,S,3500,0.01
3/6/2025,AMZY,AMZN 250314C00205000,SS,3500,2.58
3/6/2025,AMZY,AMZN 250314C00215000,B,3500,0.58
,,,,,
3/6/2025,GOOY,GOOGL 250417C00200000,S,100,0.67
3/6/2025,GOOY,2GOOGL250417P00200010,BC,100,27.51
3/6/2025,GOOY,GOOGL 250307C00177500,BC,100,0.31
3/6/2025,GOOY,GOOGL 250307C00185000,S,100,0.01
,,,,,
3/6/2025,FBY,META 250417C00705000,S,100,7.2
3/6/2025,FBY,2META 250417P00705010,BC,100,77.9
3/6/2025,FBY,META 250307C00672500,BC,100,0.14
3/6/2025,FBY,META 250307C00697500,S,100,0.02
3/6/2025,FBY,META 250307C00672500,BC,900,0.1
3/6/2025,FBY,META 250307C00697500,S,900,0.02
3/6/2025,FBY,META 250314C00647500,SS,900,7.18
3/6/2025,FBY,META 250314C00680000,B,900,1.52
,,,,,
3/6/2025,NFLY,NFLX 250307C01025000,BC,500,0.12
3/6/2025,NFLY,NFLX 250307C01065000,S,500,0.03
3/6/2025,NFLY,NFLX 250314C01045000,B,500,1.53
3/6/2025,NFLY,NFLX 250314C00995000,SS,500,9.08
3/6/2025,NFLY,NFLX 250307C00992500,BC,660,0.11
3/6/2025,NFLY,NFLX 250307C01027500,S,660,0.04
3/6/2025,NFLY,NFLX 250314C00955000,SS,660,9.97
3/6/2025,NFLY,NFLX 250314C01005000,B,660,2.07
,,,,,
3/6/2025,CONY,COIN 250516C00290000,S,480,8.92
3/6/2025,CONY,2COIN 250516P00290010,BC,480,78.82
3/6/2025,CONY,COIN 250307C00245000,BC,480,0.4
3/6/2025,CONY,COIN 250516C00290000,S,1035,9.45
3/6/2025,CONY,2COIN 250516P00290010,BC,1035,78
3/6/2025,CONY,COIN 250307C00230000,BC,1035,1.58
3/6/2025,CONY,COIN 250307C00257500,S,1035,0.13
,,,,,
3/6/2025,JPMO,JPM 250307C00265000,BC,4,0.03
3/6/2025,JPMO,JPM 250307C00270000,S,4,0.01
3/6/2025,JPMO,JPM 250314C00255000,SS,4,1.78
3/6/2025,JPMO,JPM 250314C00267500,B,4,0.25
3/6/2025,JPMO,JPM 250307C00267500,BC,185,0.07
3/6/2025,JPMO,JPM 250307C00277500,S,185,0.01
3/6/2025,JPMO,JPM 250314C00255000,SS,185,1.83
3/6/2025,JPMO,JPM 250314C00267500,B,185,0.25
3/6/2025,JPMO,JPM 250307C00265000,BC,926,0.04
3/6/2025,JPMO,JPM 250307C00272500,S,926,0.02
3/6/2025,JPMO,JPM 250314C00255000,SS,926,1.89
3/6/2025,JPMO,JPM 250314C00267500,B,926,0.26
3/6/2025,JPMO,JPM 250307C00265000,BC,930,0.04
3/6/2025,JPMO,JPM 250307C00275000,S,930,0.01
3/6/2025,JPMO,JPM 250314C00255000,SS,930,1.99
3/6/2025,JPMO,JPM 250314C00267500,B,930,0.28
,,,,,
3/6/2025,AMDY,AMD 250307C00107000,BC,7600,0.04
3/6/2025,AMDY,AMD 250307C00113000,S,7600,0.01
3/6/2025,AMDY,AMD 250314C00103000,SS,7600,1.46
3/6/2025,AMDY,AMD 250314C00109000,B,7600,0.39
,,,,,
3/6/2025,SQY,XYZ 250307C00066000,BC,3700,0.04
3/6/2025,SQY,XYZ 250307C00069000,S,3700,0.01
3/6/2025,SQY,XYZ 250314C00062000,SS,3700,0.83
3/6/2025,SQY,XYZ 250314C00067000,B,3700,0.14
,,,,,
3/6/2025,MRNY,MRNA 250321C00045000,S,1500,0.25
3/6/2025,MRNY,2MRNA 250321P00045010,BC,1500,10.89
3/6/2025,MRNY,MRNA 250314C00037500,BC,1500,0.68
3/6/2025,MRNY,MRNA 250314C00042000,S,1500,0.2
3/6/2025,MRNY,MRNA 250307C00032500,BC,25190,2.29
3/6/2025,MRNY,MRNA 250307C00036000,S,25190,0.33
3/6/2025,MRNY,MRNA 250314C00037500,SS,25190,0.7
3/6/2025,MRNY,MRNA 250314C00042000,B,25190,0.2
,,,,,
3/6/2025,AIYY,AI 250307C00024500,BC,17300,0.05
3/6/2025,AIYY,AI 250307C00026000,S,17300,0.01
3/6/2025,AIYY,AI 250314C00023500,SS,17300,0.49
3/6/2025,AIYY,AI 250314C00026000,B,17300,0.14
,,,,,
3/6/2025,MSTY,MSTR 250307C00290000,BC,2500,30.46
3/6/2025,MSTY,MSTR 250307C00360000,S,2500,2.04
3/6/2025,MSTY,MSTR 250314C00365000,SS,2500,8.12
3/6/2025,MSTY,MSTR 250314C00440000,B,2500,2.42
3/6/2025,MSTY,MSTR 250307C00350000,S,3000,0.89
3/6/2025,MSTY,MSTR 250307C00340000,B,3000,1.54
3/6/2025,MSTY,MSTR 250307C00350000,S,3000,0.73
3/6/2025,MSTY,MSTR 250307C00340000,B,3000,1.22
3/6/2025,MSTY,MSTR 250307C00350000,S,121,0.76
3/6/2025,MSTY,MSTR 250307C00340000,B,121,1.27
3/6/2025,MSTY,MSTR 250307C00350000,S,3000,0.69
3/6/2025,MSTY,MSTR 250307C00340000,B,3000,1.16
,,,,,
3/6/2025,SNOY,SNOW 250307C00180000,BC,2778,0.03
3/6/2025,SNOY,SNOW 250307C00187500,S,2778,0.02
3/6/2025,SNOY,SNOW 250314C00185000,B,2778,0.27
3/6/2025,SNOY,SNOW 250314C00170000,SS,2778,2.03
,,,,,
3/6/2025,ABNY,ABNB 250307C00146000,BC,2425,0.06
3/6/2025,ABNY,ABNB 250307C00152500,S,2425,0.01
3/6/2025,ABNY,ABNB 250314C00142000,SS,2425,1.63
3/6/2025,ABNY,ABNB 250314C00148000,B,2425,0.43
,,,,,
3/6/2025,FIAT,COIN 250417P00270000,S,150,60.2
3/6/2025,FIAT,2COIN 250417C00270020,BC,150,7.05
3/6/2025,FIAT,COIN 250307P00202500,BC,150,1.3
3/6/2025,FIAT,COIN 250307P00182500,S,150,0.15
