Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
3/17/2025,TSLY,TSLA 250417C00220000,B,800,29.2
3/17/2025,TSLY,2TSLA 250417P00220010,SS,800,10.6
3/17/2025,TSLY,TSLA 250321C00247500,SS,800,3.77
3/17/2025,TSLY,TSLA 250321C00270000,B,800,0.65
,,,,,
3/17/2025,NFLY,NFLX 250321C00935000,BC,500,33.49
3/17/2025,NFLY,NFLX 250321C00970000,S,500,12.98
3/17/2025,NFLY,NFLX 250321C00980000,SS,500,9.29
3/17/2025,NFLY,NFLX 250321C01035000,B,500,0.98
3/17/2025,NFLY,NFLX 250321C00935000,BC,660,33.38
3/17/2025,NFLY,NFLX 250321C00975000,S,660,11.08
3/17/2025,NFLY,NFLX 250321C00980000,SS,660,9.43
3/17/2025,NFLY,NFLX 250321C01035000,B,660,0.98
,,,,,
3/17/2025,XOMO,XOM 250321C00111000,BC,120,3.1
3/17/2025,XOMO,XOM 250321C00115000,S,120,0.68
3/17/2025,XOMO,XOM 250321C00114000,SS,120,1.07
3/17/2025,XOMO,XOM 250321C00116000,B,120,0.4
,,,,,
3/17/2025,AMDY,AMD 250321C00103000,BC,7100,3.65
3/17/2025,AMDY,AMD 250321C00108000,S,7100,1.19
3/17/2025,AMDY,AMD 250321C00109000,SS,7100,0.91
3/17/2025,AMDY,AMD 250321C00119000,B,7100,0.11
,,,,,
3/17/2025,PYPY,PYPL 250417C00075000,S,200,0.9
3/17/2025,PYPY,2PYPL 250417P00075010,BC,200,5.87
3/17/2025,PYPY,PYPL 250321C00070000,BC,200,1.01
3/17/2025,PYPY,PYPL 250321C00072500,S,200,0.21
,,,,,
3/17/2025,MSTY,MSTR 250417C00260000,S,500,49.39
3/17/2025,MSTY,2MSTR 250417P00260010,BC,500,15
3/17/2025,MSTY,MSTR 250321C00290000,BC,500,13.68
3/17/2025,MSTY,MSTR 250321C00335000,S,500,1.74
3/17/2025,MSTY,MSTR 250417C00330000,S,500,16.8
3/17/2025,MSTY,2MSTR 250417P00330010,BC,500,52.61
3/17/2025,MSTY,MSTR 250321C00290000,BC,500,13.6
3/17/2025,MSTY,MSTR 250321C00335000,S,500,1.81
,,,,,
3/17/2025,BABO,BABA 250321C00144000,BC,1725,5.82
3/17/2025,BABO,BABA 250321C00155000,S,1725,1.31
3/17/2025,BABO,BABA 250321C00152500,SS,1725,1.9
3/17/2025,BABO,BABA 250321C00157500,B,1725,0.88
,,,,,
3/17/2025,YQQQ,QQQ 250516P00475000,S,40,13.91
3/17/2025,YQQQ,2QQQ 250516C00475020,BC,40,23.96
3/17/2025,YQQQ,QQQ 250321P00450000,BC,40,0.29
3/17/2025,YQQQ,QQQ 250516C00615000,S,40,0.05
,,,,,
3/17/2025,SMCY,SMCI 250417C00057000,S,800,0.8
3/17/2025,SMCY,2SMCI 250417P00057010,BC,800,16.01
3/17/2025,SMCY,SMCI 250321C00044500,BC,800,0.83
3/17/2025,SMCY,SMCI 250321C00050000,S,800,0.14
,,,,,
3/17/2025,MARO,MARA 250516C00013000,B,2300,1.93
3/17/2025,MARO,2MARA 250516P00013010,SS,2300,1.85
3/17/2025,MARO,MARA 250321C00013500,SS,2300,0.3
3/17/2025,MARO,MARA 250321C00015000,B,2300,0.06
3/17/2025,MARO,MARA 250321C00018000,S,27655,0.01
3/17/2025,MARO,2MARA 250321P00018010,BC,27655,4.9
3/17/2025,MARO,MARA 250516C00013000,B,27655,2.03
3/17/2025,MARO,2MARA 250516P00013010,SS,27655,1.81
,,,,,
3/17/2025,ULTY,XYZ 250321C00052500,S,600,6.76
3/17/2025,ULTY,XYZ 250321C00060000,BC,600,1
3/17/2025,ULTY,HOOD 250321P00032000,S,2170,0.03
3/17/2025,ULTY,HOOD 250321C00039000,BC,2170,4.03
3/17/2025,ULTY,HOOD 250321C00044500,SS,2170,0.79
3/17/2025,ULTY,HOOD 250321P00037000,B,2170,0.19
,,,,,
3/17/2025,BIGY,PM 250321C00160000,BC,1,0.05
3/17/2025,BIGY,PM 250417C00160000,SS,1,1.2
3/17/2025,BIGY,MA 250321C00555000,BC,2,0.08
3/17/2025,BIGY,MA 250417C00540000,SS,2,7.94
