Date,Fund,Ticker,Type,Qty/Par Value,Exec Price

01/30/2025,TSLY,2TSLA 250221P00400010,S,12600,32.524646
01/30/2025,TSLY,2TSLA 250221P00480010,S,18693,94.565594
01/30/2025,TSLY,TSLA  250131C00417500,S,550,7.35
01/30/2025,TSLY,TSLA  250131C00435000,S,7300,3.875
01/30/2025,TSLY,TSLA  250131C00437500,S,7198,3.525
01/30/2025,TSLY,TSLA  250131C00440000,S,16245,3.175
01/30/2025,TSLY,TSLA  250131C00452500,B,550,1.94
01/30/2025,TSLY,TSLA  250131C00472500,B,7300,0.885
01/30/2025,TSLY,TSLA  250131C00475000,B,7198,0.81
01/30/2025,TSLY,TSLA  250131C00480000,B,16245,0.67
01/30/2025,TSLY,TSLA  250221C00400000,B,12600,21.95
01/30/2025,TSLY,TSLA  250221C00480000,B,18693,4.3
,,,,,,,,2025-01-30
1/30/2025,TSLY,TSLA 250207C00412500,SS,16245,8.15
1/30/2025,TSLY,TSLA 250131C00440000,BC,16245,0.22
1/30/2025,TSLY,TSLA 250131C00480000,S,16245,0.01
1/30/2025,TSLY,TSLA 250207C00440000,B,16245,2.69
1/30/2025,TSLY,TSLA 250131C00437500,BC,7198,0.19
1/30/2025,TSLY,TSLA 250131C00475000,S,7198,0.01
1/30/2025,TSLY,TSLA 250207C00420000,SS,7198,6.5
1/30/2025,TSLY,TSLA 250207C00452500,B,7198,1.63
1/30/2025,TSLY,TSLA 250131C00472500,S,7300,0.01
1/30/2025,TSLY,TSLA 250131C00435000,BC,7300,0.32
1/30/2025,TSLY,TSLA 250207C00425000,SS,7300,7.04
1/30/2025,TSLY,TSLA 250207C00455000,B,7300,2
,,,,,,,,2025-01-31
1/31/2025,TSLY,TSLA 250221C00400000,B,450,29.6
1/31/2025,TSLY,2TSLA 250221P00400010,SS,450,12.11
1/31/2025,TSLY,TSLA 250207C00435000,SS,450,6.17
1/31/2025,TSLY,TSLA 250207C00460000,B,450,1.89
1/31/2025,TSLY,TSLA 250131C00417500,BC,550,1.55
1/31/2025,TSLY,TSLA 250131C00452500,S,550,0.01
1/31/2025,TSLY,TSLA 250207C00430000,SS,550,5.87
1/31/2025,TSLY,TSLA 250207C00440000,S,8000,5.25
1/31/2025,TSLY,TSLA 250207C00412500,BC,8000,16.09
1/31/2025,TSLY,TSLA 250207C00460000,B,8000,2
1/31/2025,TSLY,TSLA 250207C00435000,SS,8000,6.6
,,,,,,,,2025-02-04
2/4/2025,TSLY,TSLA 250207C00410000,SS,550,1.88
2/4/2025,TSLY,TSLA 250207C00422500,B,550,0.81
2/4/2025,TSLY,TSLA 250207C00430000,BC,550,0.5
2/4/2025,TSLY,TSLA 250207C00460000,S,8450,0.09
2/4/2025,TSLY,TSLA 250207C00435000,BC,8450,0.4
2/4/2025,TSLY,TSLA 250207C00422500,B,8450,0.86
2/4/2025,TSLY,TSLA 250207C00410000,SS,8450,1.92
,,,,,,,,2025-02-05
2/5/2025,TSLY,TSLA 250207C00420000,BC,7198,0.25
2/5/2025,TSLY,TSLA 250207C00452500,S,7198,0.04
2/5/2025,TSLY,TSLA 250214C00425000,B,7198,1.99
2/5/2025,TSLY,TSLA 250214C00397500,SS,7198,6.36
2/5/2025,TSLY,TSLA 250214C00427500,B,7300,2.12
2/5/2025,TSLY,TSLA 250207C00425000,BC,7300,0.28
2/5/2025,TSLY,TSLA 250207C00455000,S,7300,0.04
2/5/2025,TSLY,TSLA 250214C00400000,SS,7300,6.7
,,,,,,,,2025-02-06
2/6/2025,TSLY,TSLA 250207C00412500,BC,8245,0.14
2/6/2025,TSLY,TSLA 250207C00440000,S,8245,0.04
2/6/2025,TSLY,TSLA 250214C00385000,SS,8245,5.98
2/6/2025,TSLY,TSLA 250214C00412500,B,8245,1.77
2/6/2025,TSLY,TSLA 250207C00422500,S,9000,0.04
2/6/2025,TSLY,TSLA 250207C00410000,BC,9000,0.07
2/6/2025,TSLY,TSLA 250214C00422500,B,9000,1
2/6/2025,TSLY,TSLA 250214C00387500,SS,9000,5.09
,,,,,,,,2025-02-07
2/7/2025,TSLY,TSLA 250221C00400000,B,500,4.05
2/7/2025,TSLY,2TSLA 250221P00400010,SS,500,33.45
2/7/2025,TSLY,TSLA 250214C00385000,SS,500,4.7
2/7/2025,TSLY,TSLA 250214C00412500,B,500,1
,,,,,,,,2025-02-10
2/10/2025,TSLY,TSLA 250221C00400000,S,13550,2.1
2/10/2025,TSLY,2TSLA 250221P00400010,BC,13550,41.28
2/10/2025,TSLY,TSLA 250417C00350000,B,13550,38.45
2/10/2025,TSLY,2TSLA 250417P00350010,SS,13550,25
2/10/2025,TSLY,TSLA 250221C00480000,S,4195,0.13
2/10/2025,TSLY,2TSLA 250221P00480010,BC,4195,119.2
2/10/2025,TSLY,TSLA 250417C00350000,B,4195,38.64
2/10/2025,TSLY,2TSLA 250417P00350010,SS,4195,25.21
2/10/2025,TSLY,TSLA 250221C00480000,S,14498,0.15
2/10/2025,TSLY,2TSLA 250221P00480010,BC,14498,120
2/10/2025,TSLY,TSLA 250417C00355000,B,14498,36.1
2/10/2025,TSLY,2TSLA 250417P00355010,SS,14498,28.42
,,,,,,,,2025-02-11
2/11/2025,TSLY,TSLA 250417C00350000,B,1035,24.95
2/11/2025,TSLY,2TSLA 250417P00350010,SS,1035,38.13
2/11/2025,TSLY,TSLA 250214C00347500,SS,1035,3.3
2/11/2025,TSLY,TSLA 250214C00375000,B,1035,0.58
2/11/2025,TSLY,TSLA 250214C00425000,S,7198,0.06
2/11/2025,TSLY,TSLA 250214C00377500,B,7198,0.66
2/11/2025,TSLY,TSLA 250214C00365000,SS,7198,1.41
2/11/2025,TSLY,TSLA 250214C00397500,BC,7198,0.21
2/11/2025,TSLY,TSLA 250214C00427500,S,7300,0.04
2/11/2025,TSLY,TSLA 250214C00382500,B,7300,0.61
2/11/2025,TSLY,TSLA 250214C00400000,BC,7300,0.23
2/11/2025,TSLY,TSLA 250214C00370000,SS,7300,1.37
,,,,,,,,2025-02-12
2/12/2025,TSLY,TSLA 250221C00360000,SS,8745,4.8
2/12/2025,TSLY,TSLA 250214C00385000,BC,8745,0.21
2/12/2025,TSLY,TSLA 250214C00412500,S,8745,0.06
2/12/2025,TSLY,TSLA 250221C00390000,B,8745,1.06
2/12/2025,TSLY,TSLA 250214C00422500,S,9000,0.03
2/12/2025,TSLY,TSLA 250214C00387500,BC,9000,0.18
