Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
01/24/2025,AMDY,2AMD  250221P00145010,S,13725,22.751076
01/24/2025,AMDY,AMD   250124C00124000,S,7125,0.545
01/24/2025,AMDY,AMD   250124C00125000,S,6600,0.275
01/24/2025,AMDY,AMD   250124C00131000,B,6600,0.015
01/24/2025,AMDY,AMD   250221C00145000,B,13725,1.315
,,,,,,2025-01-24
1/24/2025,AMDY,AMD 250131C00126000,SS,6600,1.33
1/24/2025,AMDY,AMD 250124C00125000,BC,6600,0.08
1/24/2025,AMDY,AMD 250124C00131000,S,6600,0.01
1/24/2025,AMDY,AMD 250131C00131000,B,6600,0.38
1/24/2025,AMDY,AMD 250131C00130000,B,7125,0.5
1/24/2025,AMDY,AMD 250124C00124000,BC,7125,0.11
1/24/2025,AMDY,AMD 250131C00125000,SS,7125,1.63
,,,,,,2025-01-27
1/27/2025,AMDY,AMD 250221C00145000,B,200,0.66
1/27/2025,AMDY,2AMD 250221P00145010,SS,200,30.15
1/27/2025,AMDY,AMD 250131C00118000,SS,200,1.47
1/27/2025,AMDY,AMD 250131C00123000,B,200,0.41
1/27/2025,AMDY,AMD 250131C00131000,S,6600,0.06
1/27/2025,AMDY,AMD 250131C00119000,SS,6600,1.01
1/27/2025,AMDY,AMD 250131C00126000,BC,6600,0.18
1/27/2025,AMDY,AMD 250131C00124000,B,6600,0.29
,,,,,,2025-01-28
1/28/2025,AMDY,AMD 250131C00124000,S,6600,0.13
1/28/2025,AMDY,AMD 250131C00122000,B,6600,0.26
1/28/2025,AMDY,AMD 250131C00130000,S,7125,0.04
1/28/2025,AMDY,AMD 250131C00121000,B,7125,0.39
1/28/2025,AMDY,AMD 250131C00125000,BC,7125,0.12
1/28/2025,AMDY,AMD 250131C00118000,SS,7125,0.91
,,,,,,2025-01-31
1/31/2025,AMDY,AMD 250221C00145000,B,210,0.63
1/31/2025,AMDY,2AMD 250221P00145010,SS,210,27.89
1/31/2025,AMDY,AMD 250207C00125000,SS,210,2.42
1/31/2025,AMDY,AMD 250207C00135000,B,210,0.76
1/31/2025,AMDY,AMD 250131C00123000,S,200,0.01
1/31/2025,AMDY,AMD 250131C00118000,BC,200,0.47
1/31/2025,AMDY,AMD 250207C00125000,SS,200,2.56
1/31/2025,AMDY,AMD 250207C00135000,B,200,0.8
1/31/2025,AMDY,AMD 250131C00122000,S,6600,0.01
1/31/2025,AMDY,AMD 250131C00119000,BC,6600,0.19
1/31/2025,AMDY,AMD 250207C00134000,B,6600,0.91
1/31/2025,AMDY,AMD 250207C00124000,SS,6600,2.85
1/31/2025,AMDY,AMD 250131C00121000,S,7125,0.01
1/31/2025,AMDY,AMD 250131C00118000,BC,7125,0.38
1/31/2025,AMDY,AMD 250207C00125000,SS,7125,2.52
1/31/2025,AMDY,AMD 250207C00135000,B,7125,0.78
