Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
01/30/2025,NVDY,2NVDA 250221P00119010,S,29090,5.312157,-15453064.71,-1.12%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,2NVDA 250221P00127010,S,32100,9.154605,-29386282.05,-2.14%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,2NVDA 250221P00135010,S,36450,14.329464,-52230896.28,-3.80%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,2NVDA 250221P00148010,S,18000,24.995107,-44991192.6,-3.27%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00124000,S,3600,4.075,-1467000.0,-0.11%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00127000,S,28000,2.695,-7546000.0,-0.55%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00129000,S,29590,2.02,-5977180.0,-0.43%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00130000,S,25000,1.72,-4300000.0,-0.31%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00132000,B,28000,1.225,3430000.0,0.25%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00134000,B,33190,0.865,2870935.0,0.21%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250131C00135000,B,25000,0.715,1787500.0,0.13%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250221C00119000,B,29090,10.675,31053575.0,2.26%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250221C00127000,B,32100,6.15,19741500.0,1.44%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250221C00135000,B,36450,3.375,12301875.0,0.89%,1374782400.0,72000000,2880.0,
01/30/2025,NVDY,NVDA  250221C00148000,B,18000,1.03,1854000.0,0.13%,1374782400.0,72000000,2880.0,
,,,,,,2025-01-30
1/30/2025,NVDY,NVDA 250207C00127000,SS,29450,2.64
1/30/2025,NVDY,NVDA 250207C00137000,B,29450,0.76
,,,,,,2025-01-31
1/31/2025,NVDY,NVDA 250131C00135000,S,25000,0.02
1/31/2025,NVDY,NVDA 250131C00130000,BC,25000,0.15
1/31/2025,NVDY,NVDA 250207C00141000,B,25000,0.61
1/31/2025,NVDY,NVDA 250207C00131000,SS,25000,2.33
1/31/2025,NVDY,NVDA 250131C00124000,BC,3600,2.87
1/31/2025,NVDY,NVDA 250131C00134000,S,3600,0.03
1/31/2025,NVDY,NVDA 250207C00132000,SS,3600,2.17
1/31/2025,NVDY,NVDA 250207C00141000,B,3600,0.63
1/31/2025,NVDY,NVDA 250131C00132000,S,28000,0.05
1/31/2025,NVDY,NVDA 250131C00127000,BC,28000,0.3
1/31/2025,NVDY,NVDA 250207C00140000,B,28000,0.62
1/31/2025,NVDY,NVDA 250207C00130000,SS,28000,2.41
1/31/2025,NVDY,NVDA 250131C00134000,S,29590,0.03
1/31/2025,NVDY,NVDA 250131C00129000,BC,29590,0.29
1/31/2025,NVDY,NVDA 250207C00142000,B,29590,0.57
1/31/2025,NVDY,NVDA 250207C00131000,SS,29590,2.5
,,,,,,2025-02-04
2/4/2025,NVDY,NVDA 250221C00135000,B,1850,1.26
2/4/2025,NVDY,2NVDA 250221P00135010,SS,1850,16.19
2/4/2025,NVDY,NVDA 250207C00124000,SS,1850,1.44
2/4/2025,NVDY,NVDA 250207C00129000,B,1850,0.46
2/4/2025,NVDY,NVDA 250207C00129000,B,3600,0.38
2/4/2025,NVDY,NVDA 250207C00132000,BC,3600,0.2
2/4/2025,NVDY,NVDA 250207C00141000,S,3600,0.05
2/4/2025,NVDY,NVDA 250207C00125000,SS,3600,0.93
2/4/2025,NVDY,NVDA 250207C00142000,S,8000,0.05
2/4/2025,NVDY,NVDA 250207C00125000,SS,8000,1.07
2/4/2025,NVDY,NVDA 250207C00129000,B,8000,0.42
2/4/2025,NVDY,NVDA 250207C00131000,BC,8000,0.27
,,,,,,2025-02-06
2/6/2025,NVDY,NVDA 250207C00124000,BC,1850,4.04
2/6/2025,NVDY,NVDA 250207C00129000,S,1850,1.02
2/6/2025,NVDY,NVDA 250214C00145000,B,1850,0.19
2/6/2025,NVDY,NVDA 250214C00134000,SS,1850,1.39
2/6/2025,NVDY,NVDA 250207C00129000,S,11600,0.96
2/6/2025,NVDY,NVDA 250214C00134000,SS,11600,1.35
2/6/2025,NVDY,NVDA 250207C00125000,BC,11600,3.19
2/6/2025,NVDY,NVDA 250214C00145000,B,11600,0.18
,,,,,,2025-02-07
2/7/2025,NVDY,NVDA 250207C00141000,S,25000,0.01
2/7/2025,NVDY,NVDA 250207C00131000,BC,25000,0.08
2/7/2025,NVDY,NVDA 250214C00139000,B,25000,0.53
2/7/2025,NVDY,NVDA 250214C00132000,SS,25000,1.96
2/7/2025,NVDY,NVDA 250207C00127000,BC,29450,2.15
2/7/2025,NVDY,NVDA 250207C00137000,S,29450,0.01
2/7/2025,NVDY,NVDA 250214C00145000,B,29450,0.18
2/7/2025,NVDY,NVDA 250214C00134000,SS,29450,1.52
2/7/2025,NVDY,NVDA 250207C00142000,S,21590,0.01
2/7/2025,NVDY,NVDA 250214C00141000,B,21590,0.38
2/7/2025,NVDY,NVDA 250214C00133000,SS,21590,1.74
2/7/2025,NVDY,NVDA 250207C00131000,BC,21590,0.08
2/7/2025,NVDY,NVDA 250207C00140000,S,28000,0.01
2/7/2025,NVDY,NVDA 250214C00132000,SS,28000,2.03
2/7/2025,NVDY,NVDA 250214C00139000,B,28000,0.55
2/7/2025,NVDY,NVDA 250207C00130000,BC,28000,0.18
,,,,,,2025-02-11
2/11/2025,NVDY,NVDA 250221C00119000,S,29090,14.45
2/11/2025,NVDY,2NVDA 250221P00119010,BC,29090,0.56
2/11/2025,NVDY,NVDA 250417C00130000,B,29090,13.65
2/11/2025,NVDY,2NVDA 250417P00130010,SS,29090,9.71
2/11/2025,NVDY,NVDA 250221C00127000,S,32100,7.55
2/11/2025,NVDY,2NVDA 250221P00127010,BC,32100,1.9
2/11/2025,NVDY,NVDA 250417C00130000,B,32100,13.5
2/11/2025,NVDY,2NVDA 250417P00130010,SS,32100,9.8
,,,,,,2025-02-12
2/12/2025,NVDY,NVDA 250221C00148000,S,18000,0.26
2/12/2025,NVDY,2NVDA 250221P00148010,BC,18000,16.21
2/12/2025,NVDY,NVDA 250221C00135000,S,38300,2.18
2/12/2025,NVDY,2NVDA 250221P00135010,BC,38300,6.15
2/12/2025,NVDY,NVDA 250417C00130000,B,56300,12.62
2/12/2025,NVDY,2NVDA 250417P00130010,SS,56300,10.2
,,,,,,2025-02-13
2/13/2025,NVDY,NVDA 250214C00139000,S,25000,0.28
2/13/2025,NVDY,NVDA 250214C00132000,BC,25000,3.88
2/13/2025,NVDY,NVDA 250221C00149000,B,25000,0.29
2/13/2025,NVDY,NVDA 250221C00140000,SS,25000,1.65
2/13/2025,NVDY,NVDA 250214C00139000,S,28000,0.23
2/13/2025,NVDY,NVDA 250214C00132000,BC,28000,3.58
2/13/2025,NVDY,NVDA 250221C00149000,B,28000,0.28
2/13/2025,NVDY,NVDA 250221C00140000,SS,28000,1.54
,,,,,,2025-02-14
2/14/2025,NVDY,NVDA 250214C00145000,S,31300,0.02
2/14/2025,NVDY,NVDA 250214C00134000,BC,31300,3.78
2/14/2025,NVDY,NVDA 250221C00141000,SS,31300,1.79
2/14/2025,NVDY,NVDA 250221C00149000,B,31300,0.33
2/14/2025,NVDY,NVDA 250221C00140000,SS,2,1.74
2/14/2025,NVDY,NVDA 250221C00149000,B,2,0.31
2/14/2025,NVDY,NVDA 250214C00145000,S,11598,0.02
2/14/2025,NVDY,NVDA 250214C00134000,BC,11598,2.95
2/14/2025,NVDY,NVDA 250221C00140000,SS,11598,1.75
2/14/2025,NVDY,NVDA 250221C00146000,B,11598,0.45
2/14/2025,NVDY,NVDA 250214C00141000,S,21590,0.04
2/14/2025,NVDY,NVDA 250214C00133000,BC,21590,3.85
2/14/2025,NVDY,NVDA 250221C00141000,SS,21590,1.51
2/14/2025,NVDY,67066G104,BC,200,136.17
,,,,,,2025-02-20
2/20/2025,NVDY,67066G104,BC,100,139.74
,,,,,,2025-02-21
2/21/2025,NVDY,NVDA 250221C00140000,BC,15000,0.02
2/21/2025,NVDY,NVDA 250221C00149000,S,15000,0.01
2/21/2025,NVDY,NVDA 250228C00147000,SS,15000,1.92
2/21/2025,NVDY,NVDA 250228C00165000,B,15000,0.29
2/21/2025,NVDY,NVDA 250221C00141000,BC,31300,0.04
2/21/2025,NVDY,NVDA 250221C00149000,S,31300,0.01
2/21/2025,NVDY,NVDA 250228C00148000,SS,31300,2.26
2/21/2025,NVDY,NVDA 250228C00165000,B,31300,0.31
2/21/2025,NVDY,NVDA 250221C00140000,BC,10000,0.02
2/21/2025,NVDY,NVDA 250221C00149000,S,10000,0.01
2/21/2025,NVDY,NVDA 250228C00144000,SS,10000,2.95
2/21/2025,NVDY,NVDA 250228C00155000,B,10000,0.9
2/21/2025,NVDY,NVDA 250221C00140000,BC,28002,0.04
2/21/2025,NVDY,NVDA 250221C00149000,S,28002,0.01
2/21/2025,NVDY,NVDA 250228C00145000,SS,28002,2.86
2/21/2025,NVDY,NVDA 250228C00157500,B,28002,0.73
2/21/2025,NVDY,NVDA 250221C00140000,BC,11598,0.02
2/21/2025,NVDY,NVDA 250221C00146000,S,11598,0.01
2/21/2025,NVDY,NVDA 250228C00144000,SS,11598,2.97
2/21/2025,NVDY,NVDA 250228C00155000,B,11598,0.91
2/21/2025,NVDY,NVDA 250221C00141000,BC,21590,0.07
2/21/2025,NVDY,NVDA 250228C00147000,SS,21590,2.64
2/21/2025,NVDY,NVDA 250228C00160000,B,21590,0.59
,,,,,,2025-02-25
