Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
2/24/2025,TSLY,TSLA 250417C00350000,B,900,22.58
2/24/2025,TSLY,2TSLA 250417P00350010,SS,900,32.36
2/24/2025,TSLY,TSLA 250228C00350000,SS,900,3.46
2/24/2025,TSLY,TSLA 250228C00367500,B,900,0.86
,,,,,
2/24/2025,OARK,ARKK 250228C00065500,BC,200,0.04
2/24/2025,OARK,ARKK 250228C00061500,SS,200,0.31
,,,,,
2/24/2025,AMZY,AMZN 250228C00227500,BC,2665,0.24
2/24/2025,AMZY,AMZN 250228C00235000,S,2665,0.06
2/24/2025,AMZY,AMZN 250228C00220000,SS,2665,1.13
2/24/2025,AMZY,AMZN 250228C00225000,B,2665,0.4
,,,,,
2/24/2025,GOOY,GOOGL 250417C00200000,B,340,1.52
2/24/2025,GOOY,2GOOGL250417P00200010,SS,340,19.33
2/24/2025,GOOY,GOOGL 250228C00185000,SS,340,0.78
2/24/2025,GOOY,GOOGL 250228C00195000,B,340,0.06
,,,,,
2/24/2025,FBY,META 250228C00720000,BC,790,0.43
2/24/2025,FBY,META 250228C00750000,S,790,0.12
2/24/2025,FBY,META 250228C00700000,SS,790,1.52
2/24/2025,FBY,META 250228C00712500,B,790,0.66
2/24/2025,FBY,META 250228C00720000,BC,880,0.41
2/24/2025,FBY,META 250228C00747500,S,880,0.12
2/24/2025,FBY,META 250228C00700000,SS,880,1.44
2/24/2025,FBY,META 250228C00712500,B,880,0.62
,,,,,
2/24/2025,CONY,COIN 250516C00290000,B,2000,11.2
2/24/2025,CONY,2COIN 250516P00290010,SS,2000,68.93
2/24/2025,CONY,COIN 250228C00240000,SS,2000,2.89
2/24/2025,CONY,COIN 250228C00262500,B,2000,0.42
,,,,,
2/24/2025,MSFO,MSFT 250228C00427500,BC,1500,0.13
2/24/2025,MSFO,MSFT 250228C00442500,S,1500,0.03
2/24/2025,MSFO,MSFT 250228C00415000,SS,1500,0.87
2/24/2025,MSFO,MSFT 250228C00425000,B,1500,0.18
,,,,,
2/24/2025,MRNY,MRNA 250321C00045000,B,1200,0.52
2/24/2025,MRNY,2MRNA 250321P00045010,SS,1200,11.39
2/24/2025,MRNY,MRNA 250228C00036000,SS,1200,0.5
2/24/2025,MRNY,MRNA 250228C00041000,B,1200,0.1
,,,,,
2/24/2025,AIYY,AI 250321C00035000,B,2300,0.64
2/24/2025,AIYY,2AI 250321P00035010,SS,2300,8.37
2/24/2025,AIYY,AI 250228C00030500,SS,2300,0.92
2/24/2025,AIYY,AI 250228C00035500,B,2300,0.3
,,,,,
2/24/2025,MSTY,MSTR 250417C00330000,B,500,23.7
2/24/2025,MSTY,2MSTR 250417P00330010,SS,500,54.75
2/24/2025,MSTY,MSTR 250228C00310000,SS,500,4.45
2/24/2025,MSTY,MSTR 250228C00340000,B,500,0.85
,,,,,
2/24/2025,YBIT,IBIT 250228C00057500,BC,200,0.07
2/24/2025,YBIT,IBIT 250314C00030000,S,200,23.63
,,,,,
2/24/2025,CRSH,TSLA 250228P00342500,BC,120,19.46
2/24/2025,CRSH,TSLA 250228P00322500,S,120,7.6
2/24/2025,CRSH,TSLA 250228P00317500,SS,120,5.75
2/24/2025,CRSH,TSLA 250228P00287500,B,120,1.1
,,,,,
2/24/2025,ABNY,ABNB 250228C00150000,SS,2515,0.66
2/24/2025,ABNY,ABNB 250228C00155000,B,2515,0.13
2/24/2025,ABNY,ABNB 250228C00165000,S,2515,0.02
2/24/2025,ABNY,ABNB 250228C00160000,BC,2515,0.03
,,,,,
2/24/2025,FIAT,COIN 250228P00220000,SS,75,4.17
2/24/2025,FIAT,COIN 250228P00252500,BC,75,25.17
2/24/2025,FIAT,COIN 250228P00205000,B,75,1.38
2/24/2025,FIAT,COIN 250228P00230000,S,75,8.21
2/24/2025,FIAT,COIN 250228P00230000,S,1495,7.59
2/24/2025,FIAT,COIN 250228P00245000,BC,1495,17.66
2/24/2025,FIAT,COIN 250228P00220000,SS,1495,3.78
2/24/2025,FIAT,COIN 250228P00205000,B,1495,1.27
,,,,,
2/24/2025,TSMY,TSM 250321C00200000,B,170,5.25
2/24/2025,TSMY,2TSM 250321P00200010,SS,170,11.36
2/24/2025,TSMY,TSM 250228C00200000,SS,170,1.43
2/24/2025,TSMY,TSM 250228C00210000,B,170,0.17
,,,,,
2/24/2025,SMCY,SMCI 250417C00057000,S,2465,7.9
2/24/2025,SMCY,2SMCI 250417P00057010,BC,2465,11.76
2/24/2025,SMCY,SMCI 250228C00072000,BC,2465,1.28
2/24/2025,SMCY,SMCI 250228C00080000,S,2465,0.69
,,,,,
2/24/2025,PLTY,PLTR 250321C00105000,B,700,2.35
2/24/2025,PLTY,2PLTR 250321P00105010,SS,700,15.38
2/24/2025,PLTY,PLTR 250228C00096000,SS,700,1.87
2/24/2025,PLTY,PLTR 250228C00103000,B,700,0.55
,,,,,
2/24/2025,MARO,MARA 250321C00018000,B,1300,0.4
2/24/2025,MARO,2MARA 250321P00018010,SS,1300,4.2
2/24/2025,MARO,MARA 250228C00015000,SS,1300,0.35
2/24/2025,MARO,MARA 250228C00016500,B,1300,0.1
,,,,,
2/24/2025,ULTY,594972408,B,10000,292.24
2/24/2025,ULTY,69608A108,B,30100,93.15
2/24/2025,ULTY,NFLX 250228C01060000,BC,80,0.63
2/24/2025,ULTY,NFLX 250228P00975000,S,80,5.12
2/24/2025,ULTY,NFLX 250228C01025000,SS,80,3.82
2/24/2025,ULTY,NFLX 250228P00950000,B,80,1.62
2/24/2025,ULTY,MSTR 250228C00305000,SS,100,4.96
2/24/2025,ULTY,MSTR 250228P00275000,B,100,4.04
2/24/2025,ULTY,CRWD 250307C00450000,BC,220,3.6
2/24/2025,ULTY,CRWD 250307P00400000,S,220,27.65
2/24/2025,ULTY,CRWD 250307C00410000,SS,220,12.45
2/24/2025,ULTY,CRWD 250307P00360000,B,220,10.1
2/24/2025,ULTY,TSLA 250228C00360000,BC,250,1.22
2/24/2025,ULTY,MSTR 250228C00320000,BC,250,2.67
2/24/2025,ULTY,MSTR 250228P00290000,S,250,8.88
2/24/2025,ULTY,TSLA 250228P00315000,S,250,2.6
2/24/2025,ULTY,TSLA 250228C00345000,SS,250,3.81
2/24/2025,ULTY,TSLA 250228P00300000,B,250,0.98
2/24/2025,ULTY,MSTR 250228C00305000,SS,250,5.62
2/24/2025,ULTY,MSTR 250228P00275000,B,250,4
2/24/2025,ULTY,PLTR 250228C00100000,SS,301,1.15
2/24/2025,ULTY,PLTR 250228P00081000,B,301,0.43
2/24/2025,ULTY,COIN 250228C00260000,BC,318,0.71
2/24/2025,ULTY,COIN 250228C00245000,SS,318,2.37
2/24/2025,ULTY,DELL 250228C00125000,BC,642,1.88
2/24/2025,ULTY,DELL 250228C00119000,SS,642,3.6
2/24/2025,ULTY,VRT 250228C00102000,BC,690,0.64
2/24/2025,ULTY,VRT 250228C00097000,SS,690,1.62
2/24/2025,ULTY,CAVA 250228C00125000,BC,700,1.59
2/24/2025,ULTY,CAVA 250228C00115000,SS,700,3.55
2/24/2025,ULTY,ANET 250228P00091000,S,750,1.5
2/24/2025,ULTY,ANET 250228C00103000,BC,750,0.25
2/24/2025,ULTY,ANET 250228C00097000,SS,750,1.3
2/24/2025,ULTY,ANET 250228P00086000,B,750,0.45
2/24/2025,ULTY,PLTR 250228P00095000,S,919,5.06
2/24/2025,ULTY,PLTR 250228C00106000,BC,919,0.47
2/24/2025,ULTY,PLTR 250228C00100000,SS,919,1.34
2/24/2025,ULTY,PLTR 250228P00081000,B,919,0.69
2/24/2025,ULTY,UBER 250307C00079000,SS,1100,1.05
2/24/2025,ULTY,UBER 250307P00074000,B,1100,0.97
2/24/2025,ULTY,UBER 250228P00074000,S,1100,0.46
2/24/2025,ULTY,UBER 250228C00082000,BC,1100,0.09
2/24/2025,ULTY,UPST 250228C00078000,BC,1400,0.38
2/24/2025,ULTY,UPST 250228C00072000,SS,1400,1.61
2/24/2025,ULTY,HOOD 250228C00055000,BC,1500,0.28
2/24/2025,ULTY,HOOD 250228C00053000,SS,1500,0.57
2/24/2025,ULTY,TQQQ 250228C00088000,BC,2050,0.42
2/24/2025,ULTY,TQQQ 250228C00085000,SS,2050,1.23
2/24/2025,ULTY,HIMS 250307P00045000,S,3500,4.22
2/24/2025,ULTY,HIMS 250307C00060000,BC,3500,2.43
2/24/2025,ULTY,HIMS 250228C00055000,SS,3500,2.67
2/24/2025,ULTY,HIMS 250228P00042500,B,3500,2.44
,,,,,
2/24/2025,SOXY,STM 250321C00024000,BC,12,4.09
2/24/2025,SOXY,STM 250321C00027000,S,12,1.64
2/24/2025,SOXY,STM 250321C00029000,SS,12,0.67
,,,,,
2/24/2025,LFGY,MELI 250307C02340000,SS,1,10.3
2/24/2025,LFGY,NVDA 250228C00143000,SS,1,2.28
2/24/2025,LFGY,NVDA 250228C00150000,B,1,0.97
2/24/2025,LFGY,CORZ 250228C00011500,SS,3,0.28
2/24/2025,LFGY,XYZ 250307C00070000,SS,3,0.79
2/24/2025,LFGY,XYZ 250307C00073000,SS,4,0.4
2/24/2025,LFGY,MARA 250228C00015000,SS,5,0.38
2/24/2025,LFGY,MARA 250228C00016000,B,5,0.17
2/24/2025,LFGY,HOOD 250307C00054000,SS,5,1.17
2/24/2025,LFGY,CIFR 250228C00006500,SS,6,0.09
2/24/2025,LFGY,CIFR 250228C00007500,B,6,0.05
2/24/2025,LFGY,HIVE 250314C00002500,SS,6,0.16
2/24/2025,LFGY,MSTR 250307C00330000,SS,6,4.62
2/24/2025,LFGY,MSTR 250307C00430000,B,6,0.57
2/24/2025,LFGY,NU 250228C00011500,SS,6,0.12
2/24/2025,LFGY,RIOT 250228C00011000,SS,6,0.32
2/24/2025,LFGY,RIOT 250228C00013500,B,6,0.04
2/24/2025,LFGY,CAN 250314C00002000,SS,7,0.06
2/24/2025,LFGY,HUT 250307C00020000,SS,7,0.37
2/24/2025,LFGY,HUT 250307C00022000,B,7,0.18
2/24/2025,LFGY,APLD 250314C00011000,SS,8,0.49
2/24/2025,LFGY,COIN 250228C00255000,SS,8,0.92
2/24/2025,LFGY,COIN 250228C00270000,B,8,0.36
2/24/2025,LFGY,CLSK 250307C00010000,SS,9,0.21
2/24/2025,LFGY,HOOD 250307C00058000,SS,9,0.36
2/24/2025,LFGY,OPRA 250321C00020000,SS,9,0.82
2/24/2025,LFGY,NVDA 250228C00143000,SS,11,2.63
2/24/2025,LFGY,NVDA 250228C00150000,B,11,1.1
2/24/2025,LFGY,MSTR 250307C00310000,SS,11,8.45
2/24/2025,LFGY,COIN 250307C00245000,SS,13,4.75
2/24/2025,LFGY,MSTR 250228C00350000,BC,16,0.54
2/24/2025,LFGY,MSTR 250307C00310000,SS,16,7.52
2/24/2025,LFGY,HOOD 250314C00055000,SS,17,1.43
2/24/2025,LFGY,HOOD 250314C00065000,BC,17,0.25
2/24/2025,LFGY,BTDR 250307C00017500,BC,42,0.13
2/24/2025,LFGY,BTDR 250228C00014000,SS,42,0.37
2/24/2025,LFGY,BTDR 250228C00015000,B,42,0.19
2/24/2025,LFGY,BTDR 250228C00014000,SS,42,0.42
2/24/2025,LFGY,BTDR 250228C00015000,B,42,0.23
2/24/2025,LFGY,OPRA 250321C00020000,SS,45,0.87
2/24/2025,LFGY,MBTXW 250331P00190000,B,45,2.37
2/24/2025,LFGY,CIFR 250228C00007500,B,52,0.04
