Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
4/2/2025,AMZY,AMZN 250417C00235000,S,12675,0.03
4/2/2025,AMZY,2AMZN 250417P00235010,BC,12675,42.21
4/2/2025,AMZY,AMZN 250516C00190000,B,12675,12
4/2/2025,AMZY,2AMZN 250516P00190010,SS,12675,8.55
,,,,,
4/2/2025,FBY,META 250417C00705000,S,2570,0.23
4/2/2025,FBY,2META 250417P00705010,BC,2570,117.83
4/2/2025,FBY,META 250516C00585000,B,2570,37.9
4/2/2025,FBY,2META 250516P00585010,SS,2570,33.57
,,,,,
4/2/2025,CONY,COIN 250516C00220000,S,3000,5.9
4/2/2025,CONY,2COIN 250516P00220010,BC,3000,43.9
4/2/2025,CONY,COIN 250404C00190000,BC,3000,1.7
4/2/2025,CONY,COIN 250404C00207500,S,3000,0.15
,,,,,
4/2/2025,JPMO,JPM 250404C00260000,BC,1045,0.06
4/2/2025,JPMO,JPM 250404C00270000,S,1045,0.01
4/2/2025,JPMO,JPM 250411C00252500,SS,1045,2.85
4/2/2025,JPMO,JPM 250411C00262500,B,1045,0.81
,,,,,
4/2/2025,XYZY,XYZ 250417C00085000,S,11070,0.01
4/2/2025,XYZY,2XYZ 250417P00085010,BC,11070,28
4/2/2025,XYZY,XYZ 250516C00055000,B,11070,5.9
4/2/2025,XYZY,2XYZ 250516P00055010,SS,11070,3.72
,,,,,
4/2/2025,MRNY,MRNA 250516C00035000,S,300,1
4/2/2025,MRNY,2MRNA 250516P00035010,BC,300,8.15
4/2/2025,MRNY,MRNA 250404C00030000,BC,300,0.15
4/2/2025,MRNY,MRNA 250404C00033000,S,300,0.03
,,,,,
4/2/2025,AIYY,AI 250404C00026500,S,10000,0.01
4/2/2025,AIYY,AI 250404C00024000,BC,10000,0.05
4/2/2025,AIYY,AI 250411C00023000,SS,10000,0.42
4/2/2025,AIYY,AI 250411C00025000,B,10000,0.13
,,,,,
4/2/2025,FIAT,COIN 250417P00270000,S,130,90.61
4/2/2025,FIAT,2COIN 250417C00270020,BC,130,0.1
4/2/2025,FIAT,COIN 250404P00148000,S,130,0.17
4/2/2025,FIAT,COIN 250404P00165000,BC,130,0.88
,,,,,
4/2/2025,BABO,BABA 250516C00140000,S,150,4.55
4/2/2025,BABO,2BABA 250516P00140010,BC,150,13.41
4/2/2025,BABO,BABA 250404C00143000,BC,150,0.1
4/2/2025,BABO,BABA 250404C00152500,S,150,0.03
